,data,47,311,362,363,364,365,622,720,726,761,883,887,Mês,Ano,Dia,mean,max
9196,2022-03-07,0.0,41.0,53.7,33.6,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,7,12.958333333333334,53.7
9197,2022-03-08,0.0,1.8,2.6,8.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,8,1.1833333333333333,8.6
9198,2022-03-09,0.0,4.0,3.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,9,0.7416666666666667,4.0
9199,2022-03-10,0.0,6.8,1.2,8.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,10,1.4333333333333333,8.0
9200,2022-03-11,0.0,49.0,81.2,77.8,54.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,11,21.849999999999998,81.2
9201,2022-03-12,0.0,20.0,26.0,9.8,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,12,8.133333333333333,41.8
9202,2022-03-13,0.0,0.0,4.2,24.2,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,13,3.2999999999999994,24.2
9203,2022-03-14,0.0,10.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,14,0.9416666666666665,10.0
9204,2022-03-15,0.0,8.6,10.4,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,15,4.583333333333333,23.0
9205,2022-03-16,0.0,33.0,32.0,21.5,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,16,7.508333333333333,33.0
9206,2022-03-17,0.0,27.2,6.6,9.2,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,17,6.083333333333333,30.0
9207,2022-03-18,0.0,8.4,2.8,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,18,1.2,8.4
9208,2022-03-19,0.0,16.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,19,4.083333333333333,20.0
9209,2022-03-20,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,20,0.8333333333333334,10.0
9210,2022-03-21,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,21,0.08333333333333333,0.7
9211,2022-03-22,0.0,42.0,38.0,59.6,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,22,14.266666666666666,59.6
9212,2022-03-23,0.0,45.0,42.4,46.7,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022,23,13.991666666666669,46.7
9213,2022-03-24,0.0,4.0,1.4,23.0,2.4,0.0,0.0,0.0,0.0,0.0,4.6,0.0,3,2022,24,2.9499999999999997,23.0
9214,2022-03-25,0.0,0.0,0.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,3,2022,25,0.16666666666666666,1.2
9215,2022-03-26,0.0,74.2,74.3,60.6,60.0,0.0,0.0,0.0,0.0,0.0,57.2,0.0,3,2022,26,27.191666666666666,74.3
